#update, fitness:max, fitness:mean
318, 8, 6.844
319, 8, 6.882
320, 8, 6.925
321, 8, 6.949
322, 8, 7.02
323, 8, 7.098
324, 8, 7.08
325, 8, 7.059
326, 8, 7.155
327, 8, 7.091
328, 8, 7.076
329, 8, 7.094
330, 8, 7.104
331, 8, 7.089
332, 8, 7.035
333, 8, 7.063
334, 8, 7.063
335, 8, 7.06
336, 8, 7.146
337, 8, 7.169
338, 8, 7.226
339, 8, 7.206
340, 8, 7.195
341, 8, 7.186
342, 8, 7.094
343, 8, 7.177
344, 8, 7.082
345, 8, 7.133
346, 8, 7.206
347, 8, 7.149
348, 8, 7.089
349, 8, 7.071
350, 8, 7.055
351, 8, 7.097
352, 8, 7.054
353, 8, 7.01
354, 8, 7.052
355, 8, 7.122
356, 8, 7.176
357, 8, 7.162
358, 8, 7.164
359, 8, 7.161
360, 8, 7.25
361, 8, 7.178
362, 8, 7.112
363, 8, 7.098
364, 8, 7.07
365, 8, 7.079
366, 8, 6.997
367, 8, 6.894
368, 8, 6.933
369, 8, 6.934
370, 8, 6.971
371, 8, 7.014
372, 8, 7.011
373, 8, 7.022
374, 8, 7.079
375, 8, 7.036
376, 8, 6.969
377, 8, 6.981
378, 8, 6.933
379, 8, 6.971
380, 8, 7.002
381, 8, 7.074
382, 8, 7.099
383, 8, 6.995
384, 8, 6.999
385, 8, 6.994
386, 8, 6.979
387, 8, 7.019
388, 8, 6.966
389, 8, 7.002
390, 8, 6.951
391, 8, 6.869
392, 8, 6.844
393, 8, 6.856
394, 8, 6.871
395, 8, 6.871
396, 8, 6.961
397, 8, 7.01
398, 8, 7.126
399, 8, 7.246
400, 8, 7.283
401, 8, 7.268
402, 8, 7.167
403, 8, 7.23
404, 8, 7.227
405, 8, 7.21
406, 8, 7.287
407, 8, 7.295
408, 8, 7.304
409, 8, 7.291
410, 8, 7.345
411, 8, 7.27
412, 8, 7.242
413, 8, 7.211
414, 8, 7.182
415, 8, 7.189
416, 8, 7.104
417, 8, 7.179
418, 8, 7.227
419, 8, 7.216
420, 8, 7.243
421, 8, 7.224
422, 8, 7.251
423, 8, 7.277
424, 8, 7.207
425, 8, 7.144
426, 8, 7.141
427, 8, 7.107
428, 8, 7.051
429, 8, 7.071
430, 8, 7.092
431, 8, 7.168
432, 8, 7.056
433, 8, 7.081
434, 8, 7.028
435, 8, 7.044
436, 8, 7.114
437, 8, 7.089
438, 8, 7.04
439, 8, 7.093
440, 8, 7.091
441, 8, 7.115
442, 8, 7.128
443, 8, 7.097
444, 8, 7.153
445, 8, 7.149
446, 8, 7.167
447, 8, 7.144
448, 8, 7.137
449, 8, 7.181
450, 8, 7.156
451, 8, 7.089
452, 8, 7.118
453, 8, 7.174
454, 8, 7.203
455, 8, 7.212
456, 8, 7.183
457, 8, 7.167
458, 8, 7.196
459, 8, 7.209
460, 8, 7.135
461, 8, 7.141
462, 8, 7.176
463, 8, 7.176
464, 8, 7.153
465, 8, 7.218
466, 8, 7.237
467, 8, 7.193
468, 8, 7.205
469, 8, 7.164
470, 8, 7.208
471, 8, 7.167
472, 8, 7.177
473, 8, 7.228
474, 8, 7.202
475, 8, 7.163
476, 8, 7.093
477, 8, 7.124
478, 8, 7.082
479, 8, 7.031
480, 8, 7.07
481, 8, 7.174
482, 8, 7.213
483, 8, 7.164
484, 8, 7.187
485, 8, 7.19
486, 8, 7.204
487, 8, 7.202
488, 8, 7.197
489, 8, 7.191
490, 8, 7.203
491, 8, 7.196
492, 8, 7.18
493, 8, 7.145
494, 8, 7.199
495, 8, 7.242
496, 8, 7.27
497, 8, 7.291
498, 8, 7.201
499, 8, 7.169
500, 8, 7.238
501, 8, 7.294
502, 8, 7.259
503, 8, 7.214
504, 8, 7.162
505, 8, 7.045
506, 8, 7.019
507, 8, 6.961
508, 8, 6.949
509, 8, 6.972
510, 8, 6.961
511, 8, 6.977
512, 8, 7.046
513, 8, 7.101
514, 8, 7.178
515, 8, 7.17
516, 8, 7.126
517, 8, 7.049
518, 8, 7.07
519, 8, 7.121
520, 8, 7.032
521, 8, 7.037
522, 8, 7.007
523, 8, 6.95
524, 8, 6.966
525, 8, 6.97
526, 8, 7.042
527, 8, 7.051
528, 8, 6.977
529, 8, 6.989
530, 8, 6.965
531, 8, 6.951
532, 8, 6.886
533, 8, 6.855
534, 8, 6.922
535, 8, 7.01
536, 8, 6.95
537, 8, 6.987
538, 8, 6.968
539, 8, 6.961
540, 8, 6.971
541, 8, 7.059
542, 8, 7.052
543, 8, 7.093
544, 8, 7.079
545, 8, 7.128
546, 8, 7.056
547, 8, 7.019
548, 8, 7.028
549, 8, 7.07
550, 8, 7.096
551, 8, 7.049
552, 8, 6.961
553, 8, 7.004
554, 8, 7.031
555, 8, 7.132
556, 8, 7.096
557, 8, 7.135
558, 8, 7.177
559, 8, 7.186
560, 8, 7.177
561, 8, 7.11
562, 8, 7.063
563, 8, 7.009
564, 8, 6.974
565, 8, 7
566, 8, 6.992
567, 8, 6.928
568, 8, 6.867
569, 8, 6.841
570, 8, 6.803
571, 8, 6.733
572, 8, 6.775
573, 8, 6.842
574, 8, 6.809
575, 8, 6.801
576, 8, 6.734
577, 8, 6.759
578, 8, 6.802
579, 8, 6.918
580, 8, 6.939
581, 8, 6.938
582, 8, 6.938
583, 8, 7.016
584, 8, 7
585, 8, 7.017
586, 8, 6.984
587, 8, 7.029
588, 8, 6.972
589, 8, 6.909
590, 8, 6.89
591, 8, 6.848
592, 8, 6.937
593, 8, 6.904
594, 8, 6.932
595, 8, 6.971
596, 8, 7.052
597, 8, 7.097
598, 8, 7.141
599, 8, 7.075
600, 8, 7.099
601, 8, 7.114
602, 8, 7.148
603, 8, 7.186
604, 8, 7.177
605, 8, 7.178
606, 8, 7.159
607, 8, 7.146
608, 8, 7.173
609, 8, 7.154
610, 8, 7.14
611, 8, 7.106
612, 8, 7.116
613, 8, 7.094
614, 8, 7.065
615, 8, 7.072
616, 8, 7.013
617, 8, 6.992
618, 8, 7.038
619, 8, 7.046
620, 8, 7.003
621, 8, 7.042
622, 8, 7.01
623, 8, 6.952
624, 8, 7.002
625, 8, 7.026
626, 8, 7.022
627, 8, 7.098
628, 8, 7.176
629, 8, 7.19
630, 8, 7.125
631, 8, 7.115
632, 8, 7.17
633, 8, 7.182
634, 8, 7.167
635, 8, 7.114
636, 8, 7.15
637, 8, 7.179
638, 8, 7.185
639, 8, 7.19
640, 8, 7.163
641, 8, 7.161
642, 8, 7.092
643, 8, 7.022
644, 8, 7.003
645, 8, 7.06
646, 8, 7.049
647, 8, 7.112
648, 8, 7.062
649, 8, 7.044
650, 8, 7.081
651, 8, 7.106
652, 8, 7.093
653, 8, 7.15
654, 8, 7.161
655, 8, 7.089
656, 8, 7.176
657, 8, 7.158
658, 8, 7.084
659, 8, 7.023
660, 8, 7.054
661, 8, 6.98
662, 8, 6.997
663, 8, 7.069
664, 8, 7.073
665, 8, 6.997
666, 8, 7.062
667, 8, 7.036
668, 8, 6.973
669, 8, 7.028
670, 8, 7.062
671, 8, 7.08
672, 8, 7.071
673, 8, 7.138
674, 8, 7.173
675, 8, 7.218
676, 8, 7.224
677, 8, 7.24
678, 8, 7.259
679, 8, 7.22
680, 8, 7.211
681, 8, 7.255
682, 8, 7.204
683, 8, 7.158
684, 8, 7.219
685, 8, 7.239
686, 8, 7.196
687, 8, 7.189
688, 8, 7.193
689, 8, 7.135
690, 8, 7.172
691, 8, 7.13
692, 8, 7.172
693, 8, 7.197
694, 8, 7.21
695, 8, 7.166
696, 8, 7.141
697, 8, 7.144
698, 8, 7.083
699, 8, 7.05
700, 8, 7.16
701, 8, 7.133
702, 8, 7.104
703, 8, 7.002
704, 8, 6.953
705, 8, 6.935
706, 8, 6.962
707, 8, 6.912
708, 8, 6.986
709, 8, 6.957
710, 8, 6.956
711, 8, 6.978
712, 8, 7.034
713, 8, 7.009
714, 8, 7.032
715, 8, 6.997
716, 8, 7.05
717, 8, 7.058
718, 8, 7.137
719, 8, 7.135
720, 8, 7.176
721, 8, 7.186
722, 8, 7.147
723, 8, 7.054
724, 8, 7.213
725, 8, 7.293
726, 8, 7.299
727, 8, 7.239
728, 8, 7.21
729, 8, 7.227
730, 8, 7.265
731, 8, 7.199
732, 8, 7.17
733, 8, 7.178
734, 8, 7.094
735, 8, 7.137
736, 8, 7.118
737, 8, 7.169
738, 8, 7.167
739, 8, 7.2
740, 8, 7.332
741, 8, 7.328
742, 8, 7.328
743, 8, 7.333
744, 8, 7.348
745, 8, 7.261
746, 8, 7.236
747, 8, 7.261
748, 8, 7.244
749, 8, 7.156
750, 8, 7.146
751, 8, 7.13
752, 8, 7.051
753, 8, 7.064
754, 8, 7.025
755, 8, 7.154
756, 8, 7.14
757, 8, 7.187
758, 8, 7.204
759, 8, 7.16
760, 8, 7.06
761, 8, 7.155
762, 8, 7.214
763, 8, 7.216
764, 8, 7.152
765, 8, 7.108
766, 8, 7.025
767, 8, 7.019
768, 8, 7.021
769, 8, 6.981
770, 8, 7.006
771, 8, 7.024
772, 8, 6.968
773, 8, 6.964
774, 8, 6.963
775, 8, 6.928
776, 8, 6.937
777, 8, 6.918
778, 8, 6.996
779, 8, 7.14
780, 8, 7.152
781, 8, 7.231
782, 8, 7.187
783, 8, 7.229
784, 8, 7.228
785, 8, 7.273
786, 8, 7.26
787, 8, 7.217
788, 8, 7.156
789, 8, 7.191
790, 8, 7.13
791, 8, 7.152
792, 8, 7.162
793, 8, 7.259
794, 8, 7.274
795, 8, 7.286
796, 8, 7.191
797, 8, 7.142
798, 8, 7.163
799, 8, 7.151
800, 8, 7.11
801, 8, 7.087
802, 8, 7.078
803, 8, 7.102
804, 8, 7.099
805, 8, 7.138
806, 8, 7.177
807, 8, 7.118
808, 8, 7.143
809, 8, 7.267
810, 8, 7.326
811, 8, 7.228
812, 8, 7.286
813, 8, 7.286
814, 8, 7.333
815, 8, 7.179
816, 8, 7.159
817, 8, 7.07
818, 8, 7.046
819, 8, 7.065
820, 8, 7.063
821, 8, 7.018
822, 8, 7.018
823, 8, 7.089
824, 8, 7.105
825, 8, 7.061
826, 8, 7.058
827, 8, 7.075
828, 8, 7.108
829, 8, 7.085
830, 8, 7.069
831, 8, 7.04
832, 8, 7.069
833, 8, 7.131
834, 8, 7.042
835, 8, 7.043
836, 8, 7.03
837, 8, 7.024
838, 8, 7.015
839, 8, 7.021
840, 8, 7.041
841, 8, 7
842, 8, 6.992
843, 8, 7.011
844, 8, 7.058
845, 8, 7.089
846, 8, 7.056
847, 8, 7.07
848, 8, 7.101
849, 8, 7.119
850, 8, 7.051
851, 8, 7.03
852, 8, 7.118
853, 8, 7.116
854, 8, 7.056
855, 8, 7.041
856, 8, 7.095
857, 8, 7.1
858, 8, 7.065
859, 8, 7.121
860, 8, 7.181
861, 8, 7.138
862, 8, 7.185
863, 8, 7.186
864, 8, 7.177
865, 8, 7.2
866, 8, 7.315
867, 8, 7.312
868, 8, 7.279
869, 8, 7.289
870, 8, 7.171
871, 8, 7.142
872, 8, 7.251
873, 8, 7.283
874, 8, 7.227
875, 8, 7.183
876, 8, 7.044
877, 8, 7.102
878, 8, 7.059
879, 8, 7.094
880, 8, 7.119
881, 8, 7.144
882, 8, 7.185
883, 8, 7.187
884, 8, 7.272
885, 8, 7.17
886, 8, 7.148
887, 8, 7.19
888, 8, 7.109
889, 8, 7.025
890, 8, 6.996
891, 8, 6.91
892, 8, 6.923
893, 8, 6.976
894, 8, 6.906
895, 8, 7.028
896, 8, 7.075
897, 8, 7.144
898, 8, 7.068
899, 8, 7.031
900, 8, 7.024
901, 8, 7.054
902, 8, 7.062
903, 8, 7.064
904, 8, 7.091
905, 8, 7.088
906, 8, 7.07
907, 8, 7.061
908, 8, 7.038
909, 8, 7.067
910, 8, 7.123
911, 8, 7.173
912, 8, 7.223
913, 8, 7.141
914, 8, 7.089
915, 8, 7.085
916, 8, 7.056
917, 8, 7.116
918, 8, 7.103
919, 8, 7.085
920, 8, 7.033
921, 8, 7.028
922, 8, 7.02
923, 8, 7.088
924, 8, 7.041
925, 8, 7.056
926, 8, 7.142
927, 8, 7.08
928, 8, 7.143
929, 8, 7.108
930, 8, 7.119
931, 8, 7.106
932, 8, 7.111
933, 8, 7.118
934, 8, 7.071
935, 8, 7.121
936, 8, 7.061
937, 8, 7.133
938, 8, 7.19
939, 8, 7.148
940, 8, 7.105
941, 8, 7.081
942, 8, 7.081
943, 8, 7.111
944, 8, 7.135
945, 8, 7.032
946, 8, 7.114
947, 8, 7.119
948, 8, 7.163
949, 8, 7.145
950, 8, 7.148
951, 8, 7.181
952, 8, 7.133
953, 8, 7.209
954, 8, 7.198
955, 8, 7.185
956, 8, 7.109
957, 8, 7.097
958, 8, 7.14
959, 8, 7.124
960, 8, 7.159
961, 8, 7.162
962, 8, 7.133
